Fiscal Year,Town Code,Municipality,Total Consideration for Taxable Conveyances,Total Amount Due,Consideration for Unimproved Land,Tax on Unimproved Land,Total Consideration for Residential Dwelling,Consideration for Residential Dwelling Under Threshold,Tax on Consideration Under Threshold Residential Dwelling,Consideration for Residential Dwelling Over Threshold,Tax on Consideration Over Threshold Residential Dwelling,Consideration for Residential Dwelling Between $800k-$2.5M,Tax on Consideration Between $800k-$2.5M Residential Dwelling,Consideration for Residential Dwelling Over $2.5M Threshold,Tax on Consideration Over $2.5M Threshold Residential Dwelling,Residential Property Other Than Dwelling,Tax on Residential Property Other Than Dwelling,Nonresidential Property Other Than Unimproved Land,Tax on Nonresidential Property Other Than Unimproved Land,Delinquent Mortgage Conveyance,Tax on Delinquent Mortgagor,Number of Taxable Conveyances,Number of Non-Taxable and Exempt Conveyances
FY 2022-23,122,SALISBURY (122),103785388.78,1086784.67,4109889.00,30599.17,98430499.78,54401650.00,408012.38,,,35803849.78,447548.12,8225000.00,185062.50,0.00,0.00,1245000.00,15562.50,0.00,0.00,101,84
FY 2022-23,123,SCOTLAND (123),7036685.33,52490.14,817362.11,6130.22,6024323.22,6024323.22,43922.42,,,0.00,0.00,0.00,0.00,0.00,0.00,195000.00,2437.50,0.00,0.00,30,32
FY 2022-23,124,SEYMOUR (124),80919696.69,614587.64,1137500.00,8531.25,77154196.69,77129196.69,573668.98,,,25000.00,312.50,0.00,0.00,155000.00,1162.50,2473000.00,30912.50,0.00,0.00,263,117
FY 2022-23,125,SHARON (125),51762601.00,469096.51,6098075.00,45735.56,42516626.00,30819126.00,231143.46,,,10672500.00,133406.25,1025000.00,23062.50,720000.00,5400.00,2427900.00,30348.75,0.00,0.00,87,49
FY 2022-23,126,SHELTON (126),305623303.52,2466863.07,4336856.41,29867.20,267010447.11,263791544.11,1972934.67,,,3218903.00,40236.29,0.00,0.00,0.00,0.00,34276000.00,423825.00,0.00,0.00,652,372
FY 2022-23,127,SHERMAN (127),41631307.00,333122.29,1588306.00,11912.30,39362001.00,35128001.00,263460.00,,,4234000.00,52925.00,0.00,0.00,295000.00,0.00,386000.00,4825.00,0.00,0.00,77,64
FY 2022-23,128,SIMSBURY (128),210317662.41,1615116.46,3618400.00,27138.00,175074262.41,168986971.41,1261439.82,,,6087291.00,76091.14,0.00,0.00,27850000.00,208875.00,3775000.00,41562.50,0.00,0.00,429,223
FY 2022-23,129,SOMERS (129),62079982.00,463519.77,1958750.00,14690.63,59781232.00,59781232.00,445829.14,,,0.00,0.00,0.00,0.00,250000.00,1875.00,90000.00,1125.00,0.00,0.00,165,93
FY 2022-23,130,SOUTHBURY (130),167678082.02,1291964.64,2515158.00,18712.04,157073424.02,153089747.02,1130850.36,,,3983677.00,49795.97,0.00,0.00,1702500.00,12768.75,6387000.00,79837.50,0.00,0.00,429,257
FY 2022-23,131,SOUTHINGTON (131),299228273.13,2440447.42,5415400.00,40615.50,228421822.13,225838591.13,1664259.17,,,2234911.00,27936.39,0.00,0.00,12738550.00,95539.13,52652501.00,612093.75,0.00,0.00,705,475
FY 2022-23,132,SOUTH WINDSOR (132),192461514.18,1621696.74,5436850.00,40776.38,150456035.18,149509838.00,1114596.69,,,946197.18,11827.47,0.00,0.00,213623.00,1601.25,36231883.00,452896.88,123123.00,0.00,487,252
FY 2022-23,133,SPRAGUE (133),14031009.21,106732.57,898459.21,6738.44,12392550.00,12367550.00,92756.63,,,25000.00,312.50,0.00,0.00,465000.00,3487.50,275000.00,3437.50,0.00,0.00,61,46
FY 2022-23,134,STAFFORD (134),55332559.57,421904.50,2106690.00,15776.93,50722761.07,49518761.07,363676.58,,,1118000.00,13975.00,0.00,0.00,562571.00,4219.28,1940537.50,24256.72,0.00,0.00,265,164
FY 2022-23,135,STAMFORD (135),1149072150.40,9641759.57,38823499.95,286837.50,1028654590.88,872162319.61,6463483.18,,,140687971.67,1735937.18,14525000.00,286312.50,25647500.00,169856.25,55946559.57,699331.99,0.00,0.00,1709,915
FY 2022-23,136,STERLING (136),23038667.25,186633.75,693064.25,5197.98,22345603.00,19920603.00,143873.28,,,1700000.00,21250.00,725000.00,16312.50,0.00,0.00,0.00,0.00,0.00,0.00,78,55
FY 2022-23,137,STONINGTON (137),195708925.73,1695278.74,13800753.00,103505.65,157539072.73,135629749.73,1008425.24,,,20259325.00,253241.58,1650001.00,37125.03,2326500.00,17448.75,22042600.00,275532.50,0.00,0.00,357,344
FY 2022-23,138,STRATFORD (138),425848373.04,3426679.88,6181550.00,45101.63,318443853.73,312742953.73,2323932.01,,,5700900.00,71261.25,0.00,0.00,55780374.31,418352.81,45442595.00,568032.46,0.00,0.00,899,536
FY 2022-23,139,SUFFIELD (139),166019178.84,1624328.79,18962000.00,142215.00,105779978.84,89162994.00,667147.47,,,6116984.84,76462.32,10500000.00,236250.00,2742200.00,20566.50,38535000.00,481687.50,0.00,0.00,252,149
FY 2022-23,140,THOMASTON (140),44344981.69,360054.86,947700.00,7107.75,31807281.69,31746281.69,236822.11,,,0.00,0.00,0.00,0.00,1750000.00,13125.00,9840000.00,103000.00,0.00,0.00,133,63
FY 2022-23,141,THOMPSON (141),44956556.40,338657.68,1820900.00,12869.25,41921156.40,41921156.40,310642.18,,,0.00,0.00,0.00,0.00,7000.00,52.50,1207500.00,15093.75,0.00,0.00,158,124
FY 2022-23,142,TOLLAND (142),94057955.75,712876.09,2163350.00,16225.13,90499605.75,90366421.01,677748.16,,,133184.74,1664.81,0.00,0.00,40000.00,300.00,1355000.00,16937.50,0.00,0.00,271,126
FY 2022-23,143,TORRINGTON (143),197766333.18,1566087.33,3516652.12,26374.91,161320358.44,160966458.44,1172612.30,,,353900.00,1873.75,0.00,0.00,8092021.00,60690.15,24837301.62,304528.77,0.00,0.00,776,398
FY 2022-23,144,TRUMBULL (144),412562159.43,3217361.05,2961899.00,20114.24,289532306.43,279434478.43,2078280.53,,,9889828.00,123622.87,0.00,0.00,101100000.00,758250.00,18967954.00,237099.43,0.00,0.00,545,266
FY 2022-23,145,UNION (145),5563200.03,46822.17,975572.03,5816.82,3268000.00,3268000.00,24510.00,,,0.00,0.00,0.00,0.00,0.00,0.00,1319628.00,16495.35,0.00,0.00,26,31
FY 2022-23,146,VERNON (146),132467476.86,1049116.33,5024700.00,36237.75,97824642.47,97074642.47,722599.87,,,750000.00,9375.00,0.00,0.00,17864634.39,133984.76,11753500.00,146918.75,0.00,0.00,440,213
FY 2022-23,147,VOLUNTOWN (147),13953121.14,99875.96,2534075.00,16884.38,11419046.14,11119046.14,79241.59,,,300000.00,3750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46,29
FY 2022-23,148,WALLINGFORD (148),228211542.06,1843704.25,3305010.00,18825.08,192382165.16,189767142.16,1392662.61,,,2615023.00,32687.79,0.00,0.00,1405000.00,10537.50,31119366.90,388992.09,0.00,0.00,627,404
FY 2022-23,149,WARREN (149),21059830.00,178980.87,3540003.00,26550.03,16845900.00,10540900.00,79056.75,,,4350000.00,54375.00,470000.00,10575.00,0.00,0.00,673927.00,8424.09,0.00,0.00,29,33
FY 2022-23,150,WASHINGTON (150),93395291.00,1198433.51,2007000.00,15052.50,90838291.00,36772436.00,274968.27,,,31494400.00,393680.00,22571455.00,507857.74,0.00,0.00,550000.00,6875.00,0.00,0.00,71,80
FY 2022-23,151,WATERBURY (151),531847487.41,4242059.14,10725321.44,80439.91,391299050.15,384084272.37,2829561.25,,,7214777.78,90184.72,0.00,0.00,62389000.00,439447.50,67434115.82,802426.47,0.00,0.00,1880,941
FY 2022-23,152,WATERFORD (152),172582307.81,1559912.60,2599146.00,19493.61,118123161.81,115564961.81,861900.49,,,2558200.00,31977.50,0.00,0.00,340000.00,2550.00,51520000.00,644000.00,0.00,0.00,377,239
FY 2022-23,153,WATERTOWN (153),151811658.03,1270978.17,3435737.00,25768.03,117521033.03,116906033.03,853999.03,,,615000.00,7687.50,0.00,0.00,120000.00,900.00,30734888.00,382623.61,0.00,0.00,410,255
FY 2022-23,154,WESTBROOK (154),87994407.60,800103.39,3340715.00,25055.37,60519898.60,55652398.60,414070.48,,,4867500.00,60843.75,0.00,0.00,307722.00,2307.92,23826072.00,297825.90,0.00,0.00,187,239
FY 2022-23,155,WEST HARTFORD (155),545001866.16,4811107.00,2983297.00,22374.73,402842033.82,391459603.82,2925571.34,,,11182430.00,139780.38,200000.00,4500.00,1077681.43,8082.61,138098853.91,1710798.18,0.00,0.00,989,481
FY 2022-23,156,WEST HAVEN (156),244204311.38,1973761.52,2670232.00,20026.51,189515579.38,189155579.38,1390553.80,,,100000.00,1250.00,0.00,0.00,17660000.00,132450.00,34358500.00,429481.26,0.00,0.00,718,404
FY 2022-23,157,WESTON (157),248579715.38,2441390.16,4481785.00,33613.39,238347930.38,138808207.00,1035061.55,,,91428223.38,1130352.80,8855000.00,199237.50,5750000.00,43125.00,0.00,0.00,0.00,0.00,196,118
FY 2022-23,158,WESTPORT (158),1105041259.90,13774883.43,12014991.00,89553.76,976524598.90,361252729.19,2674019.88,,,418016113.28,5180013.93,196366668.43,4406775.03,6350000.00,47625.00,110151670.00,1376895.88,0.00,0.00,497,302
FY 2022-23,159,WETHERSFIELD (159),165655320.71,1370563.37,2459081.86,18443.12,137184137.54,136434137.54,1020544.00,,,750000.00,9375.00,0.00,0.00,590000.00,4425.00,25422101.31,317776.27,0.00,0.00,433,229
FY 2022-23,160,WILLINGTON (160),23897826.00,180983.62,1279290.00,9594.60,22268536.00,22268536.00,167014.02,,,0.00,0.00,0.00,0.00,0.00,0.00,350000.00,4375.00,0.00,0.00,90,68
FY 2022-23,161,WILTON (161),355258952.86,3435466.57,1047500.00,7856.25,297814452.86,202098260.86,1508404.90,,,93937142.00,1174214.29,1779050.00,40028.63,0.00,0.00,56397000.00,704962.50,0.00,0.00,290,151
FY 2022-23,162,WINCHESTER (162),56102702.00,440221.59,3835240.00,27800.55,47363283.00,45814758.00,339148.19,,,1546900.00,19336.25,0.00,0.00,1472479.00,11043.60,3431700.00,42896.25,0.00,0.00,225,137
FY 2022-23,163,WINDHAM (163),77203880.24,629229.69,3565610.04,26742.08,53141982.25,52259962.25,379792.25,,,342020.00,0.00,0.00,0.00,6476649.95,48574.88,14019638.00,174120.48,0.00,0.00,276,193
FY 2022-23,164,WINDSOR (164),227637596.64,2130562.60,5234001.00,39255.01,121700388.03,121350388.03,906730.46,,,350000.00,4375.00,0.00,0.00,15717707.61,117882.81,84985500.00,1062318.75,0.00,0.00,451,250
FY 2022-23,165,WINDSOR LOCKS (165),83911320.05,764900.75,346000.00,2595.00,55969010.05,55969010.05,417701.26,,,0.00,0.00,0.00,0.00,69900.00,524.25,27526410.00,344080.00,0.00,0.00,248,105
FY 2022-23,166,WOLCOTT (166),87539663.34,689030.01,1741593.78,13061.95,76932569.56,75907569.56,565819.31,,,1025000.00,12812.50,0.00,0.00,696500.00,5223.75,8169000.00,92112.50,0.00,0.00,268,152
FY 2022-23,167,WOODBRIDGE (167),74495167.00,581612.25,5260500.00,39453.75,69234667.00,62922467.00,463256.02,,,6312200.00,78902.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113,102
FY 2022-23,168,WOODBURY (168),90741617.18,738891.24,4682100.00,35115.75,76782581.50,72793695.50,545952.72,,,3988886.00,49861.07,0.00,0.00,1600000.00,12000.00,7676935.68,95961.70,0.00,0.00,202,129
FY 2022-23,169,WOODSTOCK (169),57237106.00,441308.32,2097050.00,15727.88,52450056.00,51682056.00,384555.44,,,768000.00,9600.00,0.00,0.00,440000.00,3300.00,2250000.00,28125.00,0.00,0.00,164,142
FY 2022-23,000,TOWN UNKNOWN,406667981.37,3725715.25,6239502.95,40795.97,335842155.97,266848608.39,1971098.77,,,59614547.58,740806.85,8680000.00,195300.00,5721322.45,41897.42,58865000.00,735812.50,0.00,0.00,648,559
FY 2022-23,,ALL MUNICIPALITIES,30747530560.37,281845782.63,777945110.77,5647639.20,24199965542.66,19507012973.70,144448308.16,,,3372429706.26,41813811.72,1302360883.36,28917718.98,1766408960.60,12396441.35,3992789259.48,48561887.74,10421686.86,59969.73,56135,34231
FY 2021-22,001,ANDOVER (001),22909764.00,184257.15,913066.00,6848.00,19729914.00,19509914.00,146324.36,,,220000.00,2750.00,0.00,0.00,0.00,0.00,2266784.00,28334.80,0.00,0.00,72,44
FY 2021-22,002,ANSONIA (002),122135217.99,1002087.87,1177000.00,8827.50,101799788.99,101799788.99,760472.17,,,0.00,0.00,0.00,0.00,1338429.00,10038.22,17820000.00,222750.00,0.00,0.00,390,189
FY 2021-22,003,ASHFORD (003),30938546.40,226616.60,543300.00,4074.75,16685434.40,16685434.40,119718.26,,,0.00,0.00,0.00,0.00,13709812.00,102823.59,0.00,0.00,0.00,0.00,79,60
FY 2021-22,004,AVON (004),301435149.37,2613698.92,3684650.00,27634.88,215081323.37,196197812.30,1465080.46,,,18583511.07,232293.89,300000.00,6750.00,30285000.00,227137.50,52384176.00,654802.20,0.00,0.00,470,249
FY 2021-22,005,BARKHAMSTED (005),20697849.00,166545.12,889000.00,6378.75,17248849.00,17088849.00,128166.37,,,160000.00,0.00,0.00,0.00,0.00,0.00,2560000.00,32000.00,0.00,0.00,74,46
FY 2021-22,006,BEACON FALLS (006),60040344.93,455145.08,945769.00,7093.26,57714574.93,57714574.93,431696.80,,,0.00,0.00,0.00,0.00,179000.00,1342.50,1201001.00,15012.51,0.00,0.00,191,76
FY 2021-22,007,BERLIN (007),148431843.91,1250409.16,3851647.10,28790.23,116811623.81,116705623.81,875292.17,,,106000.00,1325.00,0.00,0.00,421080.00,3158.10,27347493.00,341843.66,0.00,0.00,407,253
FY 2021-22,008,BETHANY (008),43590682.86,342017.62,2162401.00,15243.01,39173281.86,38005781.86,285043.36,,,1167500.00,14593.75,0.00,0.00,210000.00,1575.00,2045000.00,25562.50,0.00,0.00,111,58
FY 2021-22,009,BETHEL (009),209721234.27,1706127.75,2247720.00,16857.90,175689465.27,175485465.27,1292119.24,,,204000.00,2550.00,0.00,0.00,540000.00,4050.00,31244049.00,390550.61,0.00,0.00,434,192
FY 2021-22,010,BETHLEHEM (010),53319978.00,371232.09,1139100.00,8543.25,49143378.00,31514428.00,230358.21,,,7853950.00,76924.38,9775000.00,17437.50,0.00,0.00,3037500.00,37968.75,0.00,0.00,89,83
FY 2021-22,011,BLOOMFIELD (011),142927906.00,1251453.34,4853110.00,36398.25,100346496.00,100039856.00,745596.42,,,306640.00,1875.00,0.00,0.00,804000.00,6030.00,36924300.00,461553.75,0.00,0.00,405,239
FY 2021-22,012,BOLTON (012),34914868.00,278507.92,1137000.00,8527.50,30578587.00,30448587.00,228364.40,,,130000.00,1625.00,0.00,0.00,0.00,0.00,3199281.00,39991.01,0.00,0.00,100,62
FY 2021-22,013,BOZRAH (013),18510750.00,168200.63,1037100.00,7778.25,11599650.00,11599650.00,86997.38,,,0.00,0.00,0.00,0.00,0.00,0.00,5874000.00,73425.00,0.00,0.00,52,25
FY 2021-22,014,BRANFORD (014),296087801.57,2584288.89,2729501.00,20471.25,245076011.23,216822666.23,1613911.23,,,25133345.00,314166.80,3120000.00,70200.00,7597800.00,56983.50,40684489.20,508556.12,0.14,0.00,671,410
FY 2021-22,015,BRIDGEPORT (015),768895546.92,5560639.08,18449994.12,117210.71,586512793.34,584484792.34,4234173.58,,,1880501.00,7006.25,147500.00,0.00,93710194.88,513716.58,70222564.58,688532.06,0.00,0.00,2270,1125
FY 2021-22,016,BRIDGEWATER (016),33621963.00,300941.66,1170000.00,8775.00,28382221.00,21522221.00,161416.66,,,6860000.00,85750.00,0.00,0.00,0.00,0.00,4069742.00,45000.00,0.00,0.00,48,35
FY 2021-22,017,BRISTOL (017),390264337.38,3036024.96,5989805.09,43100.61,314160560.29,313959560.29,2308529.70,,,201000.00,1250.00,0.00,0.00,37761500.00,281448.75,32310672.00,401695.90,41800.00,0.00,1407,636
FY 2021-22,018,BROOKFIELD (018),204404252.50,1719813.61,8121893.00,60914.20,174185855.00,155206175.00,1147096.30,,,17404680.00,216196.00,1575000.00,35437.50,3207000.00,24052.50,18889167.00,236114.59,337.50,2.53,396,162
FY 2021-22,019,BROOKLYN (019),57448588.08,439896.60,2164401.10,16233.01,54072186.98,51685735.24,384417.94,,,2386451.74,29830.65,0.00,0.00,1147000.00,8602.50,65000.00,812.50,0.00,0.00,194,129
FY 2021-22,020,BURLINGTON (020),104909453.73,798431.32,2111750.00,15838.13,100322703.73,99325620.02,744942.15,,,997083.71,12463.55,0.00,0.00,1150000.00,8625.00,1325000.00,16562.50,0.00,0.00,254,106
FY 2021-22,021,CANAAN (021),19095619.00,151819.64,2962500.00,16293.75,15194119.00,13227619.00,99207.14,,,1966500.00,24581.25,0.00,0.00,0.00,0.00,939000.00,11737.50,0.00,0.00,48,19
FY 2021-22,022,CANTERBURY (022),27796757.00,211538.69,981001.00,7357.50,25583756.00,25223756.00,188406.19,,,360000.00,1500.00,0.00,0.00,225000.00,1687.50,1007000.00,12587.50,0.00,0.00,99,75
FY 2021-22,023,CANTON (023),81705286.51,637129.07,1727400.00,12955.50,74093586.51,71917586.51,536906.82,,,2176000.00,27200.00,0.00,0.00,2697400.00,20230.50,3186900.00,39836.25,0.00,0.00,230,117
FY 2021-22,024,CHAPLIN (024),9646300.00,77784.75,153900.00,1154.25,8217400.00,8217400.00,61630.50,,,0.00,0.00,0.00,0.00,75000.00,0.00,1200000.00,15000.00,0.00,0.00,39,41
FY 2021-22,025,CHESHIRE (025),234623096.84,1842830.85,9194501.00,68958.76,207117595.84,204545572.64,1516354.29,,,2572023.20,32150.29,0.00,0.00,704000.00,5280.00,17607000.00,220087.50,0.00,0.00,540,271
FY 2021-22,026,CHESTER (026),38007212.00,349979.09,414000.00,3105.00,24728212.00,24608212.00,184561.59,,,120000.00,1500.00,0.00,0.00,0.00,0.00,12865000.00,160812.50,0.00,0.00,72,62
FY 2021-22,027,CLINTON (027),132455600.14,1080456.71,1219000.00,9142.50,114518941.25,105170212.25,774175.97,,,9348729.00,116859.11,0.00,0.00,5737570.00,43031.78,10980088.89,137251.11,0.00,0.00,327,231
FY 2021-22,028,COLCHESTER (028),118192093.67,933484.85,4170760.00,30155.70,103257353.25,102467253.25,764679.40,,,790100.00,7125.00,0.00,0.00,605000.00,4537.50,10158980.42,126987.26,0.00,0.00,360,205
FY 2021-22,029,COLEBROOK (029),14037750.00,109435.63,628750.00,4715.63,12859500.00,12538500.00,94038.75,,,321000.00,4012.50,0.00,0.00,40000.00,300.00,509500.00,6368.75,0.00,0.00,45,14
FY 2021-22,030,COLUMBIA (030),39186306.05,300591.05,822000.00,5208.75,36567639.38,36477639.38,273582.30,,,90000.00,1125.00,0.00,0.00,356666.67,2675.00,1440000.00,18000.00,0.00,0.00,121,71
FY 2021-22,031,CORNWALL (031),26741750.00,243962.13,2673000.00,15247.50,22818750.00,16628950.00,124717.13,,,5089800.00,63622.50,1100000.00,24750.00,0.00,0.00,1250000.00,15625.00,0.00,0.00,49,45
FY 2021-22,032,COVENTRY (032),80510759.90,604958.99,953901.00,7154.25,78345358.90,78134697.90,581544.74,,,210661.00,1248.75,0.00,0.00,26500.00,198.75,1185000.00,14812.50,0.00,0.00,294,210
FY 2021-22,033,CROMWELL (033),114317326.33,886141.45,4969100.00,37268.25,94771375.33,94641375.33,703062.57,,,130000.00,1625.00,0.00,0.00,1230000.00,9225.00,13346851.00,134960.64,0.00,0.00,384,183
FY 2021-22,034,DANBURY (034),1140572252.66,10536689.44,11153402.00,83650.49,588853127.18,572784596.18,4274638.26,,,14970531.00,180400.39,1098000.00,24705.00,156755250.00,1175664.38,383810473.48,4797630.92,0.00,0.00,1691,652
FY 2021-22,035,DARIEN (035),968446237.89,11403825.57,39767569.79,298256.77,873394746.00,342587802.00,2567987.25,,,391511760.00,4893897.00,139295184.00,3127954.14,35063722.10,262977.92,20220200.00,252752.50,0.00,0.00,468,226
FY 2021-22,036,DEEP RIVER (036),47690816.00,465852.44,1710250.00,12826.88,32286301.00,26946301.00,202097.25,,,3690000.00,46125.00,1650000.00,37125.00,700000.00,5250.00,12994265.00,162428.31,0.00,0.00,111,74
FY 2021-22,037,DERBY (037),91144932.21,705565.09,1728190.00,12961.40,81707742.21,80807742.21,592961.18,,,900000.00,11250.00,0.00,0.00,1594000.00,11955.00,6115000.00,76437.50,0.00,0.00,329,143
FY 2021-22,038,DURHAM (038),46913449.00,354565.27,2805269.00,11814.52,41429450.00,41429450.00,309266.63,,,0.00,0.00,0.00,0.00,0.00,0.00,2678730.00,33484.13,0.00,0.00,124,99
FY 2021-22,039,EASTFORD (039),13012687.38,98790.16,916000.00,6870.00,11857687.35,11857687.35,88932.66,,,0.00,0.00,0.00,0.00,0.00,0.00,239000.03,2987.50,0.00,0.00,59,36
FY 2021-22,040,EAST GRANBY (040),59701144.28,505620.02,10269301.00,75519.76,37344540.00,37159540.00,277871.48,,,185000.00,2312.50,0.00,0.00,235000.00,1762.50,11852303.28,148153.79,0.00,0.00,140,82
FY 2021-22,041,EAST HADDAM (041),88891257.00,724651.43,3987201.00,29904.01,76055856.00,71651656.00,529797.42,,,4304200.00,53802.50,100000.00,2250.00,41000.00,307.50,8507200.00,106340.00,300000.00,2250.00,266,165
FY 2021-22,042,EAST HAMPTON (042),119903078.93,999461.47,3008032.88,16412.50,96978756.05,95627821.05,717208.66,,,1350935.00,16886.69,0.00,0.00,0.00,0.00,19916290.00,248953.63,0.00,0.00,347,210
FY 2021-22,043,EAST HARTFORD (043),302648391.66,2695494.31,1972500.00,13181.25,193226847.57,193226847.57,1425910.02,,,0.00,0.00,0.00,0.00,17342000.00,130065.00,90107044.09,1126338.05,0.00,0.00,975,325
FY 2021-22,044,EAST HAVEN (044),208149751.78,1783271.96,2903909.00,21779.32,153630476.78,152561976.78,1134180.56,,,1068500.00,13356.25,0.00,0.00,6247250.00,46854.38,45368116.00,567101.45,0.00,0.00,604,351
FY 2021-22,045,EAST LYME (045),355616897.35,2900340.43,5354902.00,27786.76,192110529.90,173916753.17,1304375.65,,,12095026.73,151187.83,6098750.00,137221.88,139425000.00,1045687.50,18726465.00,234080.81,0.45,0.00,474,282
FY 2021-22,046,EASTON (046),121499941.00,1023086.35,2698999.00,20242.49,118800942.00,96433582.00,723251.86,,,22367360.00,279592.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,151,94
FY 2021-22,047,EAST WINDSOR (047),99044241.99,899877.79,2978502.00,22338.75,63506539.99,63506539.99,473224.04,,,0.00,0.00,0.00,0.00,535000.00,4012.50,32024200.00,400302.50,0.00,0.00,289,128
FY 2021-22,048,ELLINGTON (048),116277963.00,877522.22,5562405.00,41718.04,88765558.00,88448558.00,660341.69,,,317000.00,3962.50,0.00,0.00,20575000.00,154312.50,1375000.00,17187.50,0.00,0.00,310,178
FY 2021-22,049,ENFIELD (049),281887877.86,2423663.97,7729733.00,57635.49,205184811.52,204805210.52,1530353.29,,,379601.00,1625.00,0.00,0.00,3810795.00,28580.96,65162538.34,805469.23,0.00,0.00,909,405
FY 2021-22,050,ESSEX (050),125510031.00,1110253.49,638000.00,4785.00,112453231.00,92136231.00,688470.99,,,18079500.00,225993.75,2237500.00,50343.75,2915000.00,21862.50,9503800.00,118797.50,0.00,0.00,210,113
FY 2021-22,051,FAIRFIELD (051),1314598133.91,13325907.77,20279943.69,152099.58,1076939913.22,738217943.22,5503409.49,,,262132470.00,3270405.88,76589500.00,1723263.75,8099878.00,60749.09,209278399.00,2615979.99,0.00,0.00,1234,551
FY 2021-22,052,FARMINGTON (052),309783125.54,2356719.32,7316533.70,50344.00,223928739.05,217002289.05,1613306.54,,,6926450.00,86580.63,0.00,0.00,21297001.00,159727.51,57240851.79,446760.65,0.00,0.00,663,424
FY 2021-22,053,FRANKLIN (053),18498359.00,169673.81,1287900.00,9659.25,10426109.00,10396109.00,76135.19,,,30000.00,375.00,0.00,0.00,260000.00,1950.00,6524350.00,81554.38,0.00,0.00,51,31
FY 2021-22,054,GLASTONBURY (054),399088703.89,3549568.49,4953087.50,37088.16,284894455.68,277440190.11,2065028.92,,,7454265.57,93178.31,0.00,0.00,2246500.00,16848.75,106994660.71,1337433.26,0.00,0.00,735,407
FY 2021-22,055,GOSHEN (055),40352474.35,319524.76,5779872.00,43349.04,33700102.35,31196360.00,233972.71,,,2503742.35,31296.78,0.00,0.00,0.00,0.00,872500.00,10906.25,0.00,0.00,98,59
